Дата/Время;Сообщение;Значение
2026-08-21 10:18:55,520;СК2 - закрыт;Пас
2026-08-21 10:18:55,520;Три или четыре СК закрыты;Пас
2026-08-21 10:18:55,530;СК2 - закрыт;Акт
2026-08-21 10:18:55,530;Три или четыре СК закрыты;Акт
2026-08-21 10:18:55,550;СК2 - закрыт;Пас
2026-08-21 10:18:55,550;Три или четыре СК закрыты;Пас
2026-08-21 10:18:55,710;СК1 - закрыт;Пас
2026-08-21 10:18:55,810;СК4 - закрыт;Пас
2026-08-21 10:19:09,810;Начало форсированного сигнала;Акт
2026-08-21 10:19:44,200;Начало форсированного сигнала;Пас
2026-08-21 10:20:27,570;ШСП-Б: открыта дверь шкафа;Акт
2026-08-21 10:23:11,840;СК1 - закрыт;Акт
2026-08-21 10:23:11,840;СК4 - закрыт;Акт
2026-08-21 10:23:11,860;СК2 - закрыт;Акт
2026-08-21 10:23:11,860;Три или четыре СК закрыты;Акт
2026-08-21 10:35:46,980;СК2 - закрыт;Пас
2026-08-21 10:35:46,980;Три или четыре СК закрыты;Пас
2026-08-21 10:35:46,990;СК2 - закрыт;Акт
2026-08-21 10:35:46,990;Три или четыре СК закрыты;Акт
2026-08-21 10:35:47,010;СК2 - закрыт;Пас
2026-08-21 10:35:47,010;Три или четыре СК закрыты;Пас
2026-08-21 10:35:47,190;СК1 - закрыт;Пас
2026-08-21 10:35:47,290;СК4 - закрыт;Пас
2026-08-21 10:36:19,540;Начало форсированного сигнала;Акт
2026-08-21 10:39:14,680;Начало форсированного сигнала;Пас
2026-08-21 10:40:46,700;ШСП-Б: автомат QF8 выключен;Пас
2026-08-21 10:40:47,190;Код ошибки по приоритету (младшая часть);0
2026-08-21 10:40:47,220;ШСП-Б: блокировка другого канала;Акт
2026-08-21 10:41:03,570;ПК: Останов;Пас
2026-08-21 10:41:05,490;Режим работы;РАЗВОРОТ (Исходное)
2026-08-21 10:41:05,490;Предыдущий режим работы;ОСТАНОВ
2026-08-21 10:41:12,480;Режим работы;РПК (Наладка)
2026-08-21 10:41:12,480;Предыдущий режим работы;РАЗВОРОТ (Исходное)
2026-08-21 10:41:12,480;Тип перехода между режимами;Ручной переход
2026-08-21 10:42:07,010;Канал ведущий;Пас
2026-08-21 10:42:07,050;ШСП-А: блокировка другого канала;Пас
2026-08-21 10:42:07,050;ШСП-Б: блокировка другого канала;Пас
2026-08-21 10:42:26,980;Канал ведущий;Акт
2026-08-21 10:42:27,040;ШСП-А: блокировка другого канала;Акт
2026-08-21 10:42:27,040;ШСП-Б: блокировка другого канала;Акт
2026-08-21 10:42:27,480;2ЦРБРУ-К.Ошибка записи данных(основная линия связи);Акт
2026-08-21 10:42:27,510;2ЦРБРУ-К.Ошибка записи данных(основная линия связи);Пас
2026-08-21 10:43:13,010;ПК: Останов;Акт
2026-08-21 10:43:13,010;Начало форсированного сигнала;Акт
2026-08-21 10:43:13,010;Режим работы;ОСТАНОВ
2026-08-21 10:43:13,010;Предыдущий режим работы;РПК (Наладка)
2026-08-21 10:43:13,010;Тип перехода между режимами;Автоматический переход (1)
2026-08-21 10:43:13,070;Начало форсированного сигнала;Пас
2026-08-21 10:43:19,520;СК4 - закрыт;Акт
2026-08-21 10:43:19,520;СК1 - закрыт;Акт
2026-08-21 10:43:19,540;СК2 - закрыт;Акт
2026-08-21 10:43:19,540;Три или четыре СК закрыты;Акт
2026-08-21 10:43:49,450;СК2 - закрыт;Пас
2026-08-21 10:43:49,450;Три или четыре СК закрыты;Пас
2026-08-21 10:43:49,460;СК2 - закрыт;Акт
2026-08-21 10:43:49,460;Три или четыре СК закрыты;Акт
2026-08-21 10:43:49,480;СК2 - закрыт;Пас
2026-08-21 10:43:49,480;Три или четыре СК закрыты;Пас
2026-08-21 10:43:49,510;СК1 - закрыт;Пас
2026-08-21 10:43:49,720;СК4 - закрыт;Пас
2026-08-21 10:43:52,790;СК2 - закрыт;Акт
2026-08-21 10:43:52,800;СК4 - закрыт;Акт
2026-08-21 10:43:52,810;СК1 - закрыт;Акт
2026-08-21 10:43:52,810;Три или четыре СК закрыты;Акт
2026-08-21 10:44:01,560;СК2 - закрыт;Пас
2026-08-21 10:44:01,560;Три или четыре СК закрыты;Пас
2026-08-21 10:44:01,570;СК2 - закрыт;Акт
2026-08-21 10:44:01,570;Три или четыре СК закрыты;Акт
2026-08-21 10:44:01,580;СК1 - закрыт;Пас
2026-08-21 10:44:01,580;Три или четыре СК закрыты;Пас
2026-08-21 10:44:01,590;СК2 - закрыт;Пас
2026-08-21 10:44:01,770;СК4 - закрыт;Пас
2026-08-21 10:44:15,030;СК1 - закрыт;Акт
2026-08-21 10:44:15,030;СК4 - закрыт;Акт
2026-08-21 10:44:15,050;СК2 - закрыт;Акт
2026-08-21 10:44:15,050;Три или четыре СК закрыты;Акт
2026-08-21 10:44:19,310;СК1 - закрыт;Пас
2026-08-21 10:44:19,310;Три или четыре СК закрыты;Пас
2026-08-21 10:44:19,370;СК2 - закрыт;Пас
2026-08-21 10:44:19,380;СК2 - закрыт;Акт
2026-08-21 10:44:19,400;СК2 - закрыт;Пас
2026-08-21 10:44:19,500;СК4 - закрыт;Пас
2026-08-21 10:44:42,500;ПК: Останов;Пас
2026-08-21 10:44:45,260;Режим работы;РАЗВОРОТ (Исходное)
2026-08-21 10:44:45,260;Предыдущий режим работы;ОСТАНОВ
2026-08-21 10:44:51,760;ПК: Останов;Акт
2026-08-21 10:44:51,760;Начало форсированного сигнала;Акт
2026-08-21 10:44:51,760;Режим работы;ОСТАНОВ
2026-08-21 10:44:51,760;Предыдущий режим работы;РАЗВОРОТ (Исходное)
2026-08-21 10:44:51,830;Начало форсированного сигнала;Пас
2026-08-21 10:45:58,850;ПК: Останов;Пас
2026-08-21 10:45:59,660;Режим работы;РАЗВОРОТ (Исходное)
2026-08-21 10:45:59,660;Предыдущий режим работы;ОСТАНОВ
2026-08-21 10:46:01,380;Режим работы;РПК (Наладка)
2026-08-21 10:46:01,380;Предыдущий режим работы;РАЗВОРОТ (Исходное)
2026-08-21 10:46:01,380;Тип перехода между режимами;Ручной переход
2026-08-21 10:46:21,310;ПК: Останов;Акт
2026-08-21 10:46:21,310;Начало форсированного сигнала;Акт
2026-08-21 10:46:21,310;Режим работы;ОСТАНОВ
2026-08-21 10:46:21,310;Предыдущий режим работы;РПК (Наладка)
2026-08-21 10:46:21,310;Тип перехода между режимами;Автоматический переход (1)
2026-08-21 10:46:21,370;Начало форсированного сигнала;Пас
2026-08-21 10:46:32,790;ПК: Останов;Пас
2026-08-21 10:46:33,740;Режим работы;РАЗВОРОТ (Исходное)
2026-08-21 10:46:33,740;Предыдущий режим работы;ОСТАНОВ
2026-08-21 10:46:36,570;Режим работы;РПК (Наладка)
2026-08-21 10:46:36,570;Предыдущий режим работы;РАЗВОРОТ (Исходное)
2026-08-21 10:46:36,570;Тип перехода между режимами;Ручной переход
2026-08-21 10:49:33,210;ПК: Останов;Акт
2026-08-21 10:49:33,210;Начало форсированного сигнала;Акт
2026-08-21 10:49:33,210;Режим работы;ОСТАНОВ
2026-08-21 10:49:33,210;Предыдущий режим работы;РПК (Наладка)
2026-08-21 10:49:33,210;Тип перехода между режимами;Автоматический переход (1)
2026-08-21 10:49:33,280;Начало форсированного сигнала;Пас
2026-08-21 10:50:49,070;ШСП-Б: автомат QF8 выключен;Акт
2026-08-21 10:50:49,650;ШСП-Б: блокировка другого канала;Пас
2026-08-21 10:50:49,650;Код ошибки по приоритету (младшая часть);32768
2026-08-21 10:54:14,010;Начало форсированного сигнала;Акт
2026-08-21 11:06:25,740;ШСП-Б: автомат QF8 выключен;Пас
2026-08-21 11:06:26,240;Код ошибки по приоритету (младшая часть);0
2026-08-21 11:06:26,270;ШСП-Б: блокировка другого канала;Акт
2026-08-21 11:06:26,310;Начало форсированного сигнала;Пас
2026-08-21 11:06:47,910;ПК: Останов;Пас
2026-08-21 11:06:48,680;Режим работы;РАЗВОРОТ (Исходное)
2026-08-21 11:06:48,680;Предыдущий режим работы;ОСТАНОВ
2026-08-21 11:06:51,190;Режим работы;РПК (Наладка)
2026-08-21 11:06:51,190;Предыдущий режим работы;РАЗВОРОТ (Исходное)
2026-08-21 11:06:51,190;Тип перехода между режимами;Ручной переход
2026-08-21 11:13:53,870;Канал ведущий;Пас
2026-08-21 11:13:53,900;ШСП-А: блокировка другого канала;Пас
2026-08-21 11:13:53,900;ШСП-Б: блокировка другого канала;Пас
2026-08-21 11:14:12,060;Режим работы;РАЗВОРОТ (Исходное)
2026-08-21 11:14:12,060;Предыдущий режим работы;РПК (Наладка)
2026-08-21 11:14:12,060;Тип перехода между режимами;Ручной переход
2026-08-21 11:14:29,240;ПК: Останов;Акт
2026-08-21 11:14:29,240;Тип перехода между режимами;Автоматический переход (1)
2026-08-21 11:14:29,270;Начало форсированного сигнала;Акт
2026-08-21 11:14:29,270;Режим работы;ОСТАНОВ
2026-08-21 11:14:29,270;Предыдущий режим работы;РАЗВОРОТ (Исходное)
2026-08-21 11:14:29,270;Тип перехода между режимами;Автоматический переход (1)
2026-08-21 11:14:29,300;Начало форсированного сигнала;Пас
2026-08-21 11:14:48,480;ШСП-Б: автомат QF8 выключен;Акт
2026-08-21 11:14:49,170;Неисправность, сформированная по приоритету;Акт
2026-08-21 11:14:49,170;Код ошибки по приоритету (младшая часть);32768
2026-08-21 11:14:52,470;Неисправность, сформированная по приоритету;Пас
2026-08-21 11:15:18,100;Начало форсированного сигнала;Акт
2026-08-21 11:15:18,380;Начало форсированного сигнала;Пас
2026-08-21 11:16:47,990;Канал ведущий;Акт
2026-08-21 11:16:47,990;Канал зафиксировался;Акт
2026-08-21 11:16:48,040;ШСП-А: блокировка другого канала;Акт
2026-08-21 11:16:48,500;2ЦРБРУ-К.Ошибка записи данных(основная линия связи);Акт
2026-08-21 11:16:48,510;2ЦРБРУ-К.Ошибка записи данных(основная линия связи);Пас
2026-08-21 11:16:52,030;ШСП-А: открыта дверь шкафа;Акт
2026-08-21 11:16:55,040;ШСП-А: автомат QF8 выключен;Акт
2026-08-21 11:16:55,750;Код ошибки по приоритету (старшая часть);1
2026-08-21 11:16:55,760;ШСП-А: блокировка другого канала;Пас
2026-08-21 11:16:56,000;ШЗ: сработала защита;Акт
2026-08-21 11:18:03,990;Начало форсированного сигнала;Акт
2026-08-21 11:18:04,560;Начало форсированного сигнала;Пас
2026-08-21 11:20:34,660;Канал ведущий;Пас
2026-08-21 11:20:34,660;Канал зафиксировался;Пас
2026-08-21 11:20:34,660;Неисправность, сформированная по приоритету;Акт
2026-08-21 11:20:35,710;ШЗ: сработала защита;Пас
2026-08-21 11:20:39,670;ШСП-Б: автомат QF8 выключен;Пас
2026-08-21 11:20:40,150;Неисправность, сформированная по приоритету;Пас
2026-08-21 11:20:40,150;Код ошибки по приоритету (старшая часть);0
2026-08-21 11:20:43,290;ШСП-Б: открыта дверь шкафа;Пас
2026-08-21 11:21:45,130;Неисправность, сформированная по приоритету;Акт
2026-08-21 11:21:56,070;ШСП-А: автомат QF8 выключен;Пас
2026-08-21 11:21:56,370;Неисправность, сформированная по приоритету;Пас
2026-08-21 11:21:56,370;Код ошибки по приоритету (младшая часть);0
2026-08-21 11:21:59,380;ШСП-А: открыта дверь шкафа;Пас
2026-08-21 11:42:39,440;ПК: Останов;Пас
2026-08-21 11:42:40,400;Тип перехода между режимами;Ручной переход
2026-08-21 11:42:40,420;Режим работы;РАЗВОРОТ (Исходное)
2026-08-21 11:42:40,420;Предыдущий режим работы;ОСТАНОВ
2026-08-21 11:42:40,420;Тип перехода между режимами;Ручной переход
2026-08-21 11:42:47,050;Режим работы;РПК (Наладка)
2026-08-21 11:42:47,050;Предыдущий режим работы;РАЗВОРОТ (Исходное)
2026-08-21 11:42:47,050;Тип перехода между режимами;Ручной переход
2026-08-21 11:45:23,510;СК1 - закрыт;Акт
2026-08-21 11:45:23,520;СК4 - закрыт;Акт
2026-08-21 11:45:23,550;СК2 - закрыт;Акт
2026-08-21 11:45:23,550;Три или четыре СК закрыты;Акт
2026-08-21 11:47:50,940;ПК: Останов;Акт
2026-08-21 11:47:50,940;Тип перехода между режимами;Автоматический переход (1)
2026-08-21 11:47:50,960;Начало форсированного сигнала;Акт
2026-08-21 11:47:50,960;Режим работы;ОСТАНОВ
2026-08-21 11:47:50,960;Предыдущий режим работы;РПК (Наладка)
2026-08-21 11:47:50,960;Тип перехода между режимами;Автоматический переход (1)
2026-08-21 11:47:51,000;Начало форсированного сигнала;Пас
2026-08-21 11:47:56,240;СК2 - закрыт;Пас
2026-08-21 11:47:56,240;Три или четыре СК закрыты;Пас
2026-08-21 11:47:56,250;СК2 - закрыт;Акт
2026-08-21 11:47:56,250;Три или четыре СК закрыты;Акт
2026-08-21 11:47:56,270;СК2 - закрыт;Пас
2026-08-21 11:47:56,270;Три или четыре СК закрыты;Пас
2026-08-21 11:47:56,290;СК1 - закрыт;Пас
2026-08-21 11:47:56,500;СК4 - закрыт;Пас
2026-08-21 11:48:11,460;ПК: Останов;Пас
2026-08-21 11:48:12,360;Тип перехода между режимами;Ручной переход
2026-08-21 11:48:12,390;Режим работы;РАЗВОРОТ (Исходное)
2026-08-21 11:48:12,390;Предыдущий режим работы;ОСТАНОВ
2026-08-21 11:48:12,390;Тип перехода между режимами;Ручной переход
2026-08-21 11:48:22,390;Режим работы;РПК (Наладка)
2026-08-21 11:48:22,390;Предыдущий режим работы;РАЗВОРОТ (Исходное)
2026-08-21 11:48:22,390;Тип перехода между режимами;Ручной переход
2026-08-21 11:50:36,380;СК1 - закрыт;Акт
2026-08-21 11:50:36,380;СК4 - закрыт;Акт
2026-08-21 11:50:36,410;СК2 - закрыт;Акт
2026-08-21 11:50:36,410;Три или четыре СК закрыты;Акт
2026-08-21 11:52:44,340;ПК: Останов;Акт
2026-08-21 11:52:44,340;Тип перехода между режимами;Автоматический переход (1)
2026-08-21 11:52:44,350;Начало форсированного сигнала;Акт
2026-08-21 11:52:44,350;Режим работы;ОСТАНОВ
2026-08-21 11:52:44,350;Предыдущий режим работы;РПК (Наладка)
2026-08-21 11:52:44,350;Тип перехода между режимами;Автоматический переход (1)
2026-08-21 11:52:44,410;Начало форсированного сигнала;Пас
2026-08-21 11:52:45,430;СК2 - закрыт;Пас
2026-08-21 11:52:45,430;Три или четыре СК закрыты;Пас
2026-08-21 11:52:45,440;СК2 - закрыт;Акт
2026-08-21 11:52:45,440;Три или четыре СК закрыты;Акт
2026-08-21 11:52:45,450;СК2 - закрыт;Пас
2026-08-21 11:52:45,450;Три или четыре СК закрыты;Пас
2026-08-21 11:52:45,600;СК1 - закрыт;Пас
2026-08-21 11:52:45,650;СК4 - закрыт;Пас
2026-08-21 11:52:54,360;ПК: Останов;Пас
2026-08-21 11:52:56,170;Тип перехода между режимами;Ручной переход
2026-08-21 11:52:56,190;Режим работы;РАЗВОРОТ (Исходное)
2026-08-21 11:52:56,190;Предыдущий режим работы;ОСТАНОВ
2026-08-21 11:52:56,190;Тип перехода между режимами;Ручной переход
2026-08-21 11:52:59,140;Режим работы;РПК (Наладка)
2026-08-21 11:52:59,140;Предыдущий режим работы;РАЗВОРОТ (Исходное)
2026-08-21 11:52:59,140;Тип перехода между режимами;Ручной переход
2026-08-21 11:55:21,370;ПК: Останов;Акт
2026-08-21 11:55:21,370;Тип перехода между режимами;Автоматический переход (1)
2026-08-21 11:55:21,380;Начало форсированного сигнала;Акт
2026-08-21 11:55:21,380;Режим работы;ОСТАНОВ
2026-08-21 11:55:21,380;Предыдущий режим работы;РПК (Наладка)
2026-08-21 11:55:21,380;Тип перехода между режимами;Автоматический переход (1)
2026-08-21 11:55:21,430;Начало форсированного сигнала;Пас
2026-08-21 11:56:35,780;ПК: Останов;Пас
2026-08-21 11:56:36,570;Тип перехода между режимами;Ручной переход
2026-08-21 11:56:36,580;Режим работы;РАЗВОРОТ (Исходное)
2026-08-21 11:56:36,580;Предыдущий режим работы;ОСТАНОВ
2026-08-21 11:56:36,580;Тип перехода между режимами;Ручной переход
2026-08-21 11:56:39,740;Режим работы;РПК (Наладка)
2026-08-21 11:56:39,740;Предыдущий режим работы;РАЗВОРОТ (Исходное)
2026-08-21 11:56:39,740;Тип перехода между режимами;Ручной переход
2026-08-21 11:59:07,760;СК1 - закрыт;Акт
2026-08-21 11:59:07,760;СК4 - закрыт;Акт
2026-08-21 11:59:07,780;СК2 - закрыт;Акт
2026-08-21 11:59:07,780;Три или четыре СК закрыты;Акт
2026-08-21 11:59:13,200;ПК: Останов;Акт
2026-08-21 11:59:13,200;Тип перехода между режимами;Автоматический переход (1)
2026-08-21 11:59:13,230;Начало форсированного сигнала;Акт
2026-08-21 11:59:13,230;Режим работы;ОСТАНОВ
2026-08-21 11:59:13,230;Предыдущий режим работы;РПК (Наладка)
2026-08-21 11:59:13,230;Тип перехода между режимами;Автоматический переход (1)
2026-08-21 11:59:13,280;Начало форсированного сигнала;Пас
2026-08-21 12:00:34,480;СК2 - закрыт;Пас
2026-08-21 12:00:34,480;Три или четыре СК закрыты;Пас
2026-08-21 12:00:34,490;СК2 - закрыт;Акт
2026-08-21 12:00:34,490;Три или четыре СК закрыты;Акт
2026-08-21 12:00:34,510;СК2 - закрыт;Пас
2026-08-21 12:00:34,510;Три или четыре СК закрыты;Пас
2026-08-21 12:00:34,670;СК1 - закрыт;Пас
2026-08-21 12:00:34,810;СК4 - закрыт;Пас
2026-08-21 12:00:37,800;ПК: Останов;Пас
2026-08-21 12:00:38,730;Тип перехода между режимами;Ручной переход
2026-08-21 12:00:38,750;Режим работы;РАЗВОРОТ (Исходное)
2026-08-21 12:00:38,750;Предыдущий режим работы;ОСТАНОВ
2026-08-21 12:00:38,750;Тип перехода между режимами;Ручной переход
2026-08-21 12:00:43,440;Режим работы;РПК (Наладка)
2026-08-21 12:00:43,440;Предыдущий режим работы;РАЗВОРОТ (Исходное)
2026-08-21 12:00:43,440;Тип перехода между режимами;Ручной переход
2026-08-21 12:03:03,640;СК1 - закрыт;Акт
2026-08-21 12:03:03,650;СК4 - закрыт;Акт
2026-08-21 12:03:03,670;СК2 - закрыт;Акт
2026-08-21 12:03:03,670;Три или четыре СК закрыты;Акт
2026-08-21 12:04:00,760;ПК: Останов;Акт
2026-08-21 12:04:00,760;Тип перехода между режимами;Автоматический переход (1)
2026-08-21 12:04:00,770;Начало форсированного сигнала;Акт
2026-08-21 12:04:00,770;Режим работы;ОСТАНОВ
2026-08-21 12:04:00,770;Предыдущий режим работы;РПК (Наладка)
2026-08-21 12:04:00,770;Тип перехода между режимами;Автоматический переход (1)
2026-08-21 12:04:00,820;Начало форсированного сигнала;Пас
2026-08-21 12:04:49,660;СК2 - закрыт;Пас
2026-08-21 12:04:49,660;Три или четыре СК закрыты;Пас
2026-08-21 12:04:49,680;СК2 - закрыт;Акт
2026-08-21 12:04:49,680;Три или четыре СК закрыты;Акт
2026-08-21 12:04:49,700;СК2 - закрыт;Пас
2026-08-21 12:04:49,700;Три или четыре СК закрыты;Пас
2026-08-21 12:04:49,800;СК1 - закрыт;Пас
2026-08-21 12:04:49,880;СК4 - закрыт;Пас
2026-08-21 12:24:37,960;ПК: Останов;Пас
2026-08-21 12:24:38,850;Тип перехода между режимами;Ручной переход
2026-08-21 12:24:38,870;Режим работы;РАЗВОРОТ (Исходное)
2026-08-21 12:24:38,870;Предыдущий режим работы;ОСТАНОВ
2026-08-21 12:24:38,870;Тип перехода между режимами;Ручной переход
2026-08-21 12:24:43,570;Режим работы;РПК (Наладка)
2026-08-21 12:24:43,570;Предыдущий режим работы;РАЗВОРОТ (Исходное)
2026-08-21 12:24:43,570;Тип перехода между режимами;Ручной переход
2026-08-21 12:25:20,560;Канал ведущий;Акт
2026-08-21 12:25:20,630;ШСП-А: блокировка другого канала;Акт
2026-08-21 12:25:20,630;ШСП-Б: блокировка другого канала;Акт
2026-08-21 12:25:21,070;1ЦРБРУ-К.Ошибка чтения данных(основная линия связи);Акт
2026-08-21 12:25:21,090;1ЦРБРУ-К.Ошибка чтения данных(основная линия связи);Пас
2026-08-21 12:25:46,160;ШСП-Б: открыта дверь шкафа;Акт
2026-08-21 12:26:38,360;Обобщенная неисправность модуля A1-A4(TSXPBY100);Акт
2026-08-21 12:26:38,360;Отсутствие связи со СПОЗ-Б;Акт
2026-08-21 12:26:38,360;Код ошибки по приоритету (младшая часть);32768
2026-08-21 12:26:38,360;A4: mod_error;Акт
2026-08-21 12:26:38,360;Неизвестный индекс сообщения: 28;577
2026-08-21 12:26:38,360;Канал ведущий;Пас
2026-08-21 12:26:38,360;Неисправность, сформированная по приоритету;Акт
2026-08-21 12:26:38,360;Неисправность датчика положения ГСМ-Б;Акт
2026-08-21 12:26:38,360;Код ошибки по приоритету (младшая часть);40960
2026-08-21 12:26:38,360;Датчик положения ГСМ-Б. Нет связи;Акт
2026-08-21 12:26:38,360;Неизвестный индекс сообщения: 28;833
2026-08-21 12:26:38,400;ШСП-А: блокировка другого канала;Пас
2026-08-21 12:26:38,400;Неисправность, сформированная по приоритету;Пас
2026-08-21 12:26:38,400;Отсутствие связи со СПОЗ-Б;Пас
2026-08-21 12:26:38,400;Код ошибки по приоритету (младшая часть);8192
2026-08-21 12:26:38,400;Начало форсированного сигнала;Акт
2026-08-21 12:26:38,400;Режим работы;ОСТАНОВ
2026-08-21 12:26:38,400;Предыдущий режим работы;РПК (Наладка)
2026-08-21 12:26:38,400;Тип перехода между режимами;Ручной переход
2026-08-21 12:26:38,400;Неизвестный индекс сообщения: 28;769
2026-08-21 12:26:38,410;Обобщенная неисправность модуля A1-A4(TSXPBY100);Пас
2026-08-21 12:26:38,410;Неисправность датчика положения ГСМ-Б;Пас
2026-08-21 12:26:38,410;Код ошибки по приоритету (младшая часть);0
2026-08-21 12:26:38,410;A4: mod_error;Пас
2026-08-21 12:26:38,410;Датчик положения ГСМ-Б. Нет связи;Пас
2026-08-21 12:26:38,410;Неизвестный индекс сообщения: 28;0
2026-08-21 12:26:38,440;ШСП-Б: блокировка другого канала;Пас
2026-08-21 12:26:38,450;Канал ведущий;Акт
2026-08-21 12:26:38,480;ШСП-А: блокировка другого канала;Акт
2026-08-21 12:26:38,480;ШСП-Б: блокировка другого канала;Акт
2026-08-21 12:26:38,520;Начало форсированного сигнала;Пас
2026-08-21 12:26:38,960;Отсутствие связи с ЦРБРУ-К1 по осн.каналу ;Акт
2026-08-21 12:26:38,960;1ЦРБРУ-К.Ошибка чтения данных(основная линия связи);Акт
2026-08-21 12:26:38,960;1ЦРБРУ-К.Ошибка записи данных(основная линия связи);Акт
2026-08-21 12:26:39,070;Отсутствие связи с ЦРБРУ-К1 по осн.каналу ;Пас
2026-08-21 12:26:39,070;1ЦРБРУ-К.Ошибка чтения данных(основная линия связи);Пас
2026-08-21 12:26:39,370;1ЦРБРУ-К.Ошибка записи данных(основная линия связи);Пас
2026-08-21 12:27:09,190;ПК: Останов;Акт
2026-08-21 12:27:13,840;ПК: Останов;Пас
2026-08-21 12:27:15,300;Режим работы;РАЗВОРОТ (Исходное)
2026-08-21 12:27:15,300;Предыдущий режим работы;ОСТАНОВ
2026-08-21 12:27:15,300;Тип перехода между режимами;Ручной переход
2026-08-21 12:27:17,960;Режим работы;РПК (Наладка)
2026-08-21 12:27:17,960;Предыдущий режим работы;РАЗВОРОТ (Исходное)
2026-08-21 12:27:17,960;Тип перехода между режимами;Ручной переход
2026-08-21 12:27:40,490;Обобщенная неисправность модуля A1-A4(TSXPBY100);Акт
2026-08-21 12:27:40,490;Отсутствие связи со СПОЗ-Б;Акт
2026-08-21 12:27:40,490;Код ошибки по приоритету (младшая часть);32768
2026-08-21 12:27:40,490;A4: mod_error;Акт
2026-08-21 12:27:40,490;Неизвестный индекс сообщения: 28;577
2026-08-21 12:27:40,510;Таймер отсутствия изменений показаний СПОЗ-Б;Акт
2026-08-21 12:27:40,530;Обобщенная неисправность модуля A1-A4(TSXPBY100);Пас
2026-08-21 12:27:40,530;Отсутствие связи со СПОЗ-Б;Пас
2026-08-21 12:27:40,530;Таймер отсутствия изменений показаний СПОЗ-Б;Пас
2026-08-21 12:27:40,530;Код ошибки по приоритету (младшая часть);0
2026-08-21 12:27:40,530;A4: mod_error;Пас
2026-08-21 12:27:40,530;Неизвестный индекс сообщения: 28;0
