Дата/Время;Сообщение;Значение
2026-08-21 09:43:34,160;ПК: Останов;Пас
2026-08-21 09:43:44,000;ПК: Останов;Акт
2026-08-21 10:00:55,160;СК2 - закрыт;Пас
2026-08-21 10:00:55,160;Три или четыре СК закрыты;Пас
2026-08-21 10:00:55,420;СК1 - закрыт;Пас
2026-08-21 10:00:55,430;СК4 - закрыт;Пас
2026-08-21 10:01:01,180;ПК: Останов;Пас
2026-08-21 10:01:29,440;ПК: Останов;Акт
2026-08-21 10:01:36,370;ПК: Останов;Пас
2026-08-21 10:01:38,170;Режим работы;РАЗВОРОТ (Исходное)
2026-08-21 10:01:38,170;Предыдущий режим работы;ОСТАНОВ
2026-08-21 10:01:42,690;Режим работы;РПК (Наладка)
2026-08-21 10:01:42,690;Предыдущий режим работы;РАЗВОРОТ (Исходное)
2026-08-21 10:01:42,690;Тип перехода между режимами;Ручной переход
2026-08-21 10:03:38,260;ШСП-А: открыта дверь шкафа;Акт
2026-08-21 10:03:59,300;ШСП-А: открыта дверь шкафа;Пас
2026-08-21 10:03:59,400;ШСП-А: открыта дверь шкафа;Акт
2026-08-21 10:03:59,440;ШСП-А: открыта дверь шкафа;Пас
2026-08-21 10:04:44,800;ШСП-А: открыта дверь шкафа;Акт
2026-08-21 10:06:40,310;ШСП-А: открыта дверь шкафа;Пас
2026-08-21 10:12:02,190;ПК: Останов;Акт
2026-08-21 10:12:02,190;Начало форсированного сигнала;Акт
2026-08-21 10:12:02,190;Режим работы;ОСТАНОВ
2026-08-21 10:12:02,190;Предыдущий режим работы;РПК (Наладка)
2026-08-21 10:12:02,190;Тип перехода между режимами;Автоматический переход (1)
2026-08-21 10:12:02,250;Начало форсированного сигнала;Пас
2026-08-21 10:12:05,320;ПК: Останов;Пас
2026-08-21 10:12:08,120;Режим работы;РАЗВОРОТ (Исходное)
2026-08-21 10:12:08,120;Предыдущий режим работы;ОСТАНОВ
2026-08-21 10:12:19,290;Режим работы;РПК (Наладка)
2026-08-21 10:12:19,290;Предыдущий режим работы;РАЗВОРОТ (Исходное)
2026-08-21 10:12:19,290;Тип перехода между режимами;Ручной переход
2026-08-21 10:12:36,830;ШСП-А: открыта дверь шкафа;Акт
2026-08-21 10:14:18,140;ШСП-А: открыта дверь шкафа;Пас
2026-08-21 10:14:59,440;ПК: Останов;Акт
2026-08-21 10:14:59,440;Начало форсированного сигнала;Акт
2026-08-21 10:14:59,440;Режим работы;ОСТАНОВ
2026-08-21 10:14:59,440;Предыдущий режим работы;РПК (Наладка)
2026-08-21 10:14:59,440;Тип перехода между режимами;Автоматический переход (1)
2026-08-21 10:14:59,500;Начало форсированного сигнала;Пас
2026-08-21 10:15:06,710;СК4 - закрыт;Акт
2026-08-21 10:15:06,720;СК1 - закрыт;Акт
2026-08-21 10:15:06,720;СК2 - закрыт;Акт
2026-08-21 10:15:06,720;Три или четыре СК закрыты;Акт
2026-08-21 10:15:31,510;ШСП-Б: открыта дверь шкафа;Акт
2026-08-21 10:15:33,680;ШСП-Б: автомат QF8 выключен;Акт
2026-08-21 10:15:34,390;ШСП-Б: блокировка другого канала;Пас
2026-08-21 10:15:34,390;Код ошибки по приоритету (младшая часть);32768
2026-08-21 10:15:35,720;ШСП-Б: открыта дверь шкафа;Пас
2026-08-21 10:15:35,760;ШСП-Б: открыта дверь шкафа;Акт
2026-08-21 10:15:35,920;ШСП-Б: открыта дверь шкафа;Пас
