Дата/Время;Сообщение;Значение
2026-08-24 10:13:47,660;ШСП-А: открыта дверь шкафа;Акт
2026-08-24 10:13:52,770;ШСП-А: открыта дверь шкафа;Пас
2026-08-24 10:14:23,900;ШСП-Б: открыта дверь шкафа;Акт
2026-08-24 10:16:54,690;ПК: Останов;Пас
2026-08-24 10:17:19,880;ПК: Останов;Акт
2026-08-24 10:17:22,790;ПК: Останов;Пас
2026-08-24 10:17:35,400;ПК: Останов;Акт
2026-08-24 10:17:43,120;Канал ведущий;Пас
2026-08-24 10:17:43,150;ШСП-А: блокировка другого канала;Пас
2026-08-24 10:17:43,150;ШСП-Б: блокировка другого канала;Пас
2026-08-24 10:17:45,030;Канал ведущий;Акт
2026-08-24 10:17:45,090;ШСП-А: блокировка другого канала;Акт
2026-08-24 10:17:45,100;ШСП-Б: блокировка другого канала;Акт
2026-08-24 10:17:45,540;Отсутствие связи с ЦРБРУ-К1 по осн.каналу ;Акт
2026-08-24 10:17:45,540;1ЦРБРУ-К.Ошибка чтения данных(основная линия связи);Акт
2026-08-24 10:17:45,540;1ЦРБРУ-К.Ошибка записи данных(основная линия связи);Акт
2026-08-24 10:17:45,550;Отсутствие связи с ЦРБРУ-К1 по осн.каналу ;Пас
2026-08-24 10:17:45,550;1ЦРБРУ-К.Ошибка чтения данных(основная линия связи);Пас
2026-08-24 10:17:45,850;1ЦРБРУ-К.Ошибка записи данных(основная линия связи);Пас
2026-08-24 10:17:46,520;ПК: Останов;Пас
2026-08-24 10:17:51,410;ПК: Останов;Акт
2026-08-24 10:18:06,960;ПК: Останов;Пас
2026-08-24 10:18:11,770;ПК: Останов;Акт
2026-08-24 10:18:26,100;ПК: Останов;Пас
2026-08-24 10:18:27,000;Режим работы;РАЗВОРОТ (Исходное)
2026-08-24 10:18:27,000;Предыдущий режим работы;ОСТАНОВ
2026-08-24 10:18:27,000;Тип перехода между режимами;Ручной переход
2026-08-24 10:18:28,330;Режим работы;РПК (Наладка)
2026-08-24 10:18:28,330;Предыдущий режим работы;РАЗВОРОТ (Исходное)
2026-08-24 10:18:28,330;Тип перехода между режимами;Ручной переход
2026-08-24 10:20:29,390;ШСП-Б: неисправны модуль оптической связи [А6] или шина Profibus;Акт
2026-08-24 10:20:29,390;Обобщенная неисправность модуля A1-A4(TSXPBY100);Акт
2026-08-24 10:20:29,390;Неисправность датчика положения ГСМ-Б;Акт
2026-08-24 10:20:29,390;Отсутствие связи со СПОЗ-Б;Акт
2026-08-24 10:20:29,390;Код ошибки по приоритету (младшая часть);40960
2026-08-24 10:20:29,390;A4: mod_error;Акт
2026-08-24 10:20:29,390;Датчик положения ГСМ-Б. Нет связи;Акт
2026-08-24 10:20:29,390;Неизвестный индекс сообщения: 28;833
2026-08-24 10:20:29,400;Неисправность датчика положения ГСМ-Б;Пас
