Дата/Время;Сообщение;Значение
2026-08-24 10:20:29,400;Код ошибки по приоритету (младшая часть);32768
2026-08-24 10:20:29,400;Датчик положения ГСМ-Б. Нет связи;Пас
2026-08-24 10:20:29,400;Неизвестный индекс сообщения: 28;577
2026-08-24 10:20:29,410;Неисправность датчика положения ГСМ-Б;Акт
2026-08-24 10:20:29,410;Код ошибки по приоритету (младшая часть);40960
2026-08-24 10:20:29,410;Датчик положения ГСМ-Б. Нет связи;Акт
2026-08-24 10:20:29,410;Неизвестный индекс сообщения: 28;833
2026-08-24 10:20:29,440;Таймер отсутствия изменений показаний СПОЗ-Б;Акт
2026-08-24 10:20:29,540;Обобщенная неисправность модуля A1-A4(TSXPBY100);Пас
2026-08-24 10:20:29,540;Неисправность датчика положения ГСМ-Б;Пас
2026-08-24 10:20:29,540;Отсутствие связи со СПОЗ-Б;Пас
2026-08-24 10:20:29,540;Таймер отсутствия изменений показаний СПОЗ-Б;Пас
2026-08-24 10:20:29,540;Код ошибки по приоритету (младшая часть);0
2026-08-24 10:20:29,540;A4: mod_error;Пас
2026-08-24 10:20:29,540;Датчик положения ГСМ-Б. Нет связи;Пас
2026-08-24 10:20:29,540;Неизвестный индекс сообщения: 28;0
2026-08-24 10:20:31,110;ШСП-Б: неисправны модуль оптической связи [А6] или шина Profibus;Пас
2026-08-24 10:21:09,960;Обобщенная неисправность модуля A1-A4(TSXPBY100);Акт
2026-08-24 10:21:09,960;Отсутствие связи со СПОЗ-Б;Акт
2026-08-24 10:21:09,960;Код ошибки по приоритету (младшая часть);32768
2026-08-24 10:21:09,960;A4: mod_error;Акт
2026-08-24 10:21:09,960;Неизвестный индекс сообщения: 28;577
2026-08-24 10:21:09,970;Неисправность датчика положения ГСМ-Б;Акт
2026-08-24 10:21:09,970;Код ошибки по приоритету (младшая часть);40960
2026-08-24 10:21:09,970;Датчик положения ГСМ-Б. Нет связи;Акт
2026-08-24 10:21:09,970;Неизвестный индекс сообщения: 28;833
2026-08-24 10:21:09,990;Таймер отсутствия изменений показаний СПОЗ-Б;Акт
2026-08-24 10:21:10,010;Отсутствие связи со СПОЗ-Б;Пас
2026-08-24 10:21:10,010;Таймер отсутствия изменений показаний СПОЗ-Б;Пас
2026-08-24 10:21:10,010;Код ошибки по приоритету (младшая часть);8192
2026-08-24 10:21:10,010;Неизвестный индекс сообщения: 28;769
2026-08-24 10:21:10,020;Обобщенная неисправность модуля A1-A4(TSXPBY100);Пас
2026-08-24 10:21:10,020;Неисправность датчика положения ГСМ-Б;Пас
2026-08-24 10:21:10,020;Код ошибки по приоритету (младшая часть);0
2026-08-24 10:21:10,020;A4: mod_error;Пас
2026-08-24 10:21:10,020;Датчик положения ГСМ-Б. Нет связи;Пас
2026-08-24 10:21:10,020;Неизвестный индекс сообщения: 28;0
2026-08-24 10:21:42,210;Обобщенная неисправность модуля A1-A4(TSXPBY100);Акт
2026-08-24 10:21:42,210;Отсутствие связи со СПОЗ-Б;Акт
2026-08-24 10:21:42,210;Таймер отсутствия изменений показаний СПОЗ-Б;Акт
2026-08-24 10:21:42,210;Код ошибки по приоритету (младшая часть);32768
2026-08-24 10:21:42,210;A4: mod_error;Акт
2026-08-24 10:21:42,210;Неизвестный индекс сообщения: 28;577
2026-08-24 10:21:42,220;Неисправность датчика положения ГСМ-Б;Акт
2026-08-24 10:21:42,220;Код ошибки по приоритету (младшая часть);40960
2026-08-24 10:21:42,220;Датчик положения ГСМ-Б. Нет связи;Акт
2026-08-24 10:21:42,220;Неизвестный индекс сообщения: 28;833
2026-08-24 10:21:42,230;Обобщенная неисправность модуля A1-A4(TSXPBY100);Пас
2026-08-24 10:21:42,230;Неисправность датчика положения ГСМ-Б;Пас
2026-08-24 10:21:42,230;Отсутствие связи со СПОЗ-Б;Пас
2026-08-24 10:21:42,230;Таймер отсутствия изменений показаний СПОЗ-Б;Пас
2026-08-24 10:21:42,230;Код ошибки по приоритету (младшая часть);0
2026-08-24 10:21:42,230;A4: mod_error;Пас
2026-08-24 10:21:42,230;Датчик положения ГСМ-Б. Нет связи;Пас
2026-08-24 10:21:42,230;Неизвестный индекс сообщения: 28;0
2026-08-24 10:22:32,940;Обобщенная неисправность модуля A1-A4(TSXPBY100);Акт
2026-08-24 10:22:32,940;Отсутствие связи со СПОЗ-Б;Акт
2026-08-24 10:22:32,940;Код ошибки по приоритету (младшая часть);32768
2026-08-24 10:22:32,940;A4: mod_error;Акт
2026-08-24 10:22:32,940;Неизвестный индекс сообщения: 28;577
2026-08-24 10:22:32,950;Неисправность датчика положения ГСМ-Б;Акт
2026-08-24 10:22:32,950;Отсутствие связи со СПОЗ-Б;Пас
2026-08-24 10:22:32,950;Код ошибки по приоритету (младшая часть);8192
2026-08-24 10:22:32,950;Датчик положения ГСМ-Б. Нет связи;Акт
2026-08-24 10:22:32,950;Неизвестный индекс сообщения: 28;769
2026-08-24 10:22:32,960;Обобщенная неисправность модуля A1-A4(TSXPBY100);Пас
2026-08-24 10:22:32,960;Неисправность датчика положения ГСМ-Б;Пас
2026-08-24 10:22:32,960;Код ошибки по приоритету (младшая часть);0
2026-08-24 10:22:32,960;A4: mod_error;Пас
2026-08-24 10:22:32,960;Датчик положения ГСМ-Б. Нет связи;Пас
2026-08-24 10:22:32,960;Неизвестный индекс сообщения: 28;0
2026-08-24 10:22:34,260;ШСП-Б: неисправны модуль оптической связи [А6] или шина Profibus;Акт
2026-08-24 10:22:34,280;Обобщенная неисправность модуля A1-A4(TSXPBY100);Акт
2026-08-24 10:22:34,280;Неисправность датчика положения ГСМ-Б;Акт
2026-08-24 10:22:34,280;Код ошибки по приоритету (младшая часть);8192
2026-08-24 10:22:34,280;A4: mod_error;Акт
2026-08-24 10:22:34,280;Датчик положения ГСМ-Б. Нет связи;Акт
2026-08-24 10:22:34,280;Неизвестный индекс сообщения: 28;769
2026-08-24 10:22:34,310;Канал ведущий;Пас
2026-08-24 10:22:34,310;Неисправность, сформированная по приоритету;Акт
2026-08-24 10:22:34,310;Отсутствие связи со СПОЗ-Б;Акт
2026-08-24 10:22:34,310;ШСП-Б: блокировка другого канала;Пас
2026-08-24 10:22:34,310;Код ошибки по приоритету (младшая часть);40960
2026-08-24 10:22:34,310;Неизвестный индекс сообщения: 28;833
2026-08-24 10:22:34,320;Обобщенная неисправность модуля A1-A4(TSXPBY100);Пас
2026-08-24 10:22:34,320;Канал ведущий;Акт
2026-08-24 10:22:34,320;Неисправность, сформированная по приоритету;Пас
2026-08-24 10:22:34,320;Неисправность датчика положения ГСМ-Б;Пас
2026-08-24 10:22:34,320;Отсутствие связи со СПОЗ-Б;Пас
2026-08-24 10:22:34,320;Код ошибки по приоритету (младшая часть);0
2026-08-24 10:22:34,320;A4: mod_error;Пас
2026-08-24 10:22:34,320;Датчик положения ГСМ-Б. Выход за нижнюю границу диапазона;Акт
2026-08-24 10:22:34,320;Датчик положения ГСМ-Б. Нет связи;Пас
2026-08-24 10:22:34,320;Неизвестный индекс сообщения: 28;0
2026-08-24 10:22:34,330;ШСП-Б: блокировка другого канала;Акт
2026-08-24 10:22:34,330;Датчик положения ГСМ-Б. Выход за нижнюю границу диапазона;Пас
2026-08-24 10:22:34,330;Канал ведущий;Пас
2026-08-24 10:22:34,350;Канал ведущий;Акт
2026-08-24 10:22:34,370;ШСП-А: блокировка другого канала;Пас
2026-08-24 10:22:34,370;ШСП-Б: блокировка другого канала;Пас
2026-08-24 10:22:34,380;ШСП-А: блокировка другого канала;Акт
2026-08-24 10:22:34,380;ШСП-Б: блокировка другого канала;Акт
2026-08-24 10:22:35,860;ШСП-Б: неисправны модуль оптической связи [А6] или шина Profibus;Пас
2026-08-24 10:23:31,470;Обобщенная неисправность модуля A1-A4(TSXPBY100);Акт
2026-08-24 10:23:31,470;Отсутствие связи со СПОЗ-Б;Акт
2026-08-24 10:23:31,470;Код ошибки по приоритету (младшая часть);32768
2026-08-24 10:23:31,470;A4: mod_error;Акт
2026-08-24 10:23:31,470;Неизвестный индекс сообщения: 28;577
2026-08-24 10:23:31,480;Канал ведущий;Пас
2026-08-24 10:23:31,480;Неисправность, сформированная по приоритету;Акт
2026-08-24 10:23:31,480;Неисправность датчика положения ГСМ-Б;Акт
2026-08-24 10:23:31,480;Код ошибки по приоритету (младшая часть);40960
2026-08-24 10:23:31,480;Датчик положения ГСМ-Б. Нет связи;Акт
2026-08-24 10:23:31,480;Неизвестный индекс сообщения: 28;833
2026-08-24 10:23:31,500;Таймер отсутствия изменений показаний СПОЗ-Б;Акт
2026-08-24 10:23:31,510;ШСП-А: блокировка другого канала;Пас
2026-08-24 10:23:31,530;Начало форсированного сигнала;Акт
2026-08-24 10:23:31,530;Режим работы;ОСТАНОВ
2026-08-24 10:23:31,530;Предыдущий режим работы;РПК (Наладка)
2026-08-24 10:23:31,530;Тип перехода между режимами;Ручной переход
2026-08-24 10:23:31,640;Неисправность, сформированная по приоритету;Пас
2026-08-24 10:23:31,640;Отсутствие связи со СПОЗ-Б;Пас
2026-08-24 10:23:31,640;Таймер отсутствия изменений показаний СПОЗ-Б;Пас
2026-08-24 10:23:31,640;Код ошибки по приоритету (младшая часть);8192
2026-08-24 10:23:31,640;Неизвестный индекс сообщения: 28;769
2026-08-24 10:23:31,650;Обобщенная неисправность модуля A1-A4(TSXPBY100);Пас
2026-08-24 10:23:31,650;Неисправность датчика положения ГСМ-Б;Пас
2026-08-24 10:23:31,650;Код ошибки по приоритету (младшая часть);0
2026-08-24 10:23:31,650;A4: mod_error;Пас
2026-08-24 10:23:31,650;Датчик положения ГСМ-Б. Нет связи;Пас
2026-08-24 10:23:31,650;Неизвестный индекс сообщения: 28;0
2026-08-24 10:23:31,680;ШСП-Б: блокировка другого канала;Пас
2026-08-24 10:23:31,690;Канал ведущий;Акт
2026-08-24 10:23:31,720;ШСП-А: блокировка другого канала;Акт
2026-08-24 10:23:31,720;ШСП-Б: блокировка другого канала;Акт
2026-08-24 10:23:31,750;Начало форсированного сигнала;Пас
2026-08-24 10:23:32,200;2ЦРБРУ-К.Ошибка чтения данных(основная линия связи);Акт
2026-08-24 10:23:32,320;2ЦРБРУ-К.Ошибка чтения данных(основная линия связи);Пас
2026-08-24 10:25:54,170;Режим работы;РАЗВОРОТ (Исходное)
2026-08-24 10:25:54,170;Предыдущий режим работы;ОСТАНОВ
2026-08-24 10:25:54,170;Тип перехода между режимами;Ручной переход
2026-08-24 10:25:57,040;Режим работы;РПК (Наладка)
2026-08-24 10:25:57,040;Предыдущий режим работы;РАЗВОРОТ (Исходное)
2026-08-24 10:25:57,040;Тип перехода между режимами;Ручной переход
2026-08-24 10:26:41,270;Обобщенная неисправность модуля A1-A4(TSXPBY100);Акт
2026-08-24 10:26:41,270;Канал ведущий;Пас
2026-08-24 10:26:41,270;Неисправность, сформированная по приоритету;Акт
2026-08-24 10:26:41,270;Отсутствие связи со СПОЗ-Б;Акт
2026-08-24 10:26:41,270;Код ошибки по приоритету (младшая часть);32768
2026-08-24 10:26:41,270;A4: mod_error;Акт
2026-08-24 10:26:41,270;Неизвестный индекс сообщения: 28;577
2026-08-24 10:26:41,280;Неисправность датчика положения ГСМ-Б;Акт
2026-08-24 10:26:41,280;Код ошибки по приоритету (младшая часть);40960
2026-08-24 10:26:41,280;Датчик положения ГСМ-Б. Нет связи;Акт
2026-08-24 10:26:41,280;Неизвестный индекс сообщения: 28;833
2026-08-24 10:26:41,310;Таймер отсутствия изменений показаний СПОЗ-Б;Акт
2026-08-24 10:26:41,310;ШСП-А: блокировка другого канала;Пас
2026-08-24 10:26:41,480;ШСП-Б: блокировка другого канала;Пас
2026-08-24 10:26:43,300;ШСП-Б: неисправны модуль оптической связи [А6] или шина Profibus;Акт
2026-08-24 10:26:43,350;Отсутствие связи со СПОЗ-Б;Пас
2026-08-24 10:26:43,350;Таймер отсутствия изменений показаний СПОЗ-Б;Пас
2026-08-24 10:26:43,350;СПОЗ-Б: код ошибки;Ошибка "Тайм-аут данных процесса"
2026-08-24 10:26:43,350;СПОЗ-Б: подкод ошибки;Ошибка тайм-аута полевой шины
2026-08-24 10:26:43,350;Неизвестный индекс сообщения: 28;769
2026-08-24 10:26:43,360;Обобщенная неисправность модуля A1-A4(TSXPBY100);Пас
2026-08-24 10:26:43,360;Неисправность датчика положения ГСМ-Б;Пас
2026-08-24 10:26:43,360;Код ошибки по приоритету (младшая часть);32768
2026-08-24 10:26:43,360;A4: mod_error;Пас
2026-08-24 10:26:43,360;Датчик положения ГСМ-Б. Нет связи;Пас
2026-08-24 10:26:43,360;Неизвестный индекс сообщения: 28;0
2026-08-24 10:26:43,380;Неисправность, сформированная по приоритету;Пас
2026-08-24 10:26:43,380;Код ошибки по приоритету (младшая часть);0
2026-08-24 10:26:43,380;СПОЗ-Б: код ошибки;Нет ошибок
2026-08-24 10:26:43,380;СПОЗ-Б: подкод ошибки;0
2026-08-24 10:26:44,870;ШСП-Б: неисправны модуль оптической связи [А6] или шина Profibus;Пас
2026-08-24 10:27:09,340;Режим работы;РАЗВОРОТ (Исходное)
2026-08-24 10:27:09,340;Предыдущий режим работы;РПК (Наладка)
2026-08-24 10:27:09,340;Тип перехода между режимами;Ручной переход
2026-08-24 10:27:09,350;Режим работы;РПК (Наладка)
2026-08-24 10:27:09,350;Предыдущий режим работы;РАЗВОРОТ (Исходное)
2026-08-24 10:27:09,350;Тип перехода между режимами;Ручной переход
2026-08-24 10:27:55,610;ШСП-Б: открыта дверь шкафа;Пас
2026-08-24 10:28:11,690;ПК: Останов;Акт
2026-08-24 10:28:11,690;Тип перехода между режимами;Автоматический переход (1)
2026-08-24 10:28:11,700;Начало форсированного сигнала;Акт
2026-08-24 10:28:11,700;Режим работы;ОСТАНОВ
2026-08-24 10:28:11,700;Предыдущий режим работы;РПК (Наладка)
2026-08-24 10:28:11,700;Тип перехода между режимами;Автоматический переход (1)
2026-08-24 10:28:11,750;Начало форсированного сигнала;Пас
2026-08-24 14:07:51,500;Канал ведущий;Акт
2026-08-24 14:07:51,550;ШСП-А: блокировка другого канала;Акт
2026-08-24 14:07:51,560;ШСП-Б: блокировка другого канала;Акт
2026-08-24 14:07:52,010;2ЦРБРУ-К.Ошибка записи данных(основная линия связи);Акт
2026-08-24 14:07:52,080;2ЦРБРУ-К.Ошибка записи данных(основная линия связи);Пас
2026-08-24 14:08:27,350;ПК: Останов;Пас
2026-08-24 14:08:29,030;Режим работы;РАЗВОРОТ (Исходное)
2026-08-24 14:08:29,030;Предыдущий режим работы;ОСТАНОВ
2026-08-24 14:08:33,080;Режим работы;РПК (Наладка)
2026-08-24 14:08:33,080;Предыдущий режим работы;РАЗВОРОТ (Исходное)
2026-08-24 14:08:33,080;Тип перехода между режимами;Ручной переход
2026-08-24 14:19:06,750;СК1 - закрыт;Пас
2026-08-24 14:19:06,750;Три или четыре СК закрыты;Пас
2026-08-24 14:27:29,360;СК1 - закрыт;Акт
2026-08-24 14:27:29,360;Три или четыре СК закрыты;Акт
2026-08-24 14:27:29,780;СК1 - закрыт;Пас
2026-08-24 14:27:29,780;Три или четыре СК закрыты;Пас
2026-08-24 14:27:29,840;СК1 - закрыт;Акт
2026-08-24 14:27:29,840;Три или четыре СК закрыты;Акт
2026-08-24 14:27:30,690;СК1 - закрыт;Пас
2026-08-24 14:27:30,690;Три или четыре СК закрыты;Пас
2026-08-24 14:27:30,710;СК1 - закрыт;Акт
2026-08-24 14:27:30,710;Три или четыре СК закрыты;Акт
2026-08-24 14:27:30,720;СК1 - закрыт;Пас
2026-08-24 14:27:30,720;Три или четыре СК закрыты;Пас
2026-08-24 14:27:31,040;СК1 - закрыт;Акт
2026-08-24 14:27:31,040;Три или четыре СК закрыты;Акт
2026-08-24 14:27:31,480;СК1 - закрыт;Пас
2026-08-24 14:27:31,480;Три или четыре СК закрыты;Пас
2026-08-24 14:27:31,600;СК1 - закрыт;Акт
2026-08-24 14:27:31,600;Три или четыре СК закрыты;Акт
2026-08-24 14:27:31,650;СК1 - закрыт;Пас
2026-08-24 14:27:31,650;Три или четыре СК закрыты;Пас
2026-08-24 14:27:31,670;СК1 - закрыт;Акт
2026-08-24 14:27:31,670;Три или четыре СК закрыты;Акт
2026-08-24 14:27:31,680;СК1 - закрыт;Пас
2026-08-24 14:27:31,680;Три или четыре СК закрыты;Пас
2026-08-24 14:27:31,690;СК1 - закрыт;Акт
2026-08-24 14:27:31,690;Три или четыре СК закрыты;Акт
2026-08-24 14:27:33,890;СК1 - закрыт;Пас
2026-08-24 14:27:33,890;Три или четыре СК закрыты;Пас
2026-08-24 14:27:33,890;СК1 - закрыт;Акт
2026-08-24 14:27:33,890;Три или четыре СК закрыты;Акт
2026-08-24 14:27:34,080;СК1 - закрыт;Пас
2026-08-24 14:27:34,080;Три или четыре СК закрыты;Пас
2026-08-24 14:27:34,250;СК1 - закрыт;Акт
2026-08-24 14:27:34,250;Три или четыре СК закрыты;Акт
2026-08-24 14:27:35,070;СК1 - закрыт;Пас
2026-08-24 14:27:35,070;Три или четыре СК закрыты;Пас
2026-08-24 14:27:35,100;СК1 - закрыт;Акт
2026-08-24 14:27:35,100;Три или четыре СК закрыты;Акт
2026-08-24 14:27:35,140;СК1 - закрыт;Пас
2026-08-24 14:27:35,140;Три или четыре СК закрыты;Пас
2026-08-24 14:27:35,500;СК1 - закрыт;Акт
2026-08-24 14:27:35,500;Три или четыре СК закрыты;Акт
2026-08-24 14:27:35,600;СК1 - закрыт;Пас
2026-08-24 14:27:35,600;Три или четыре СК закрыты;Пас
2026-08-24 14:27:35,620;СК1 - закрыт;Акт
2026-08-24 14:27:35,620;Три или четыре СК закрыты;Акт
2026-08-24 14:27:35,680;СК1 - закрыт;Пас
2026-08-24 14:27:35,680;Три или четыре СК закрыты;Пас
2026-08-24 14:27:35,800;СК1 - закрыт;Акт
2026-08-24 14:27:35,800;Три или четыре СК закрыты;Акт
2026-08-24 14:27:35,830;СК1 - закрыт;Пас
2026-08-24 14:27:35,830;Три или четыре СК закрыты;Пас
2026-08-24 14:27:35,920;СК1 - закрыт;Акт
2026-08-24 14:27:35,920;Три или четыре СК закрыты;Акт
2026-08-24 14:27:35,990;СК1 - закрыт;Пас
2026-08-24 14:27:35,990;Три или четыре СК закрыты;Пас
2026-08-24 14:27:36,030;СК1 - закрыт;Акт
2026-08-24 14:27:36,030;Три или четыре СК закрыты;Акт
2026-08-24 14:29:19,670;ШУР: Дверь шкафа открыта;Акт
2026-08-24 14:33:51,580;Канал ведущий;Пас
2026-08-24 14:33:51,610;ШСП-А: блокировка другого канала;Пас
2026-08-24 14:33:51,610;ШСП-Б: блокировка другого канала;Пас
2026-08-24 14:34:51,520;СК2 - закрыт;Пас
2026-08-24 14:34:51,520;Три или четыре СК закрыты;Пас
2026-08-24 14:34:59,740;СК2 - закрыт;Акт
2026-08-24 14:34:59,740;Три или четыре СК закрыты;Акт
2026-08-24 14:35:13,460;СК2 - закрыт;Пас
2026-08-24 14:35:13,460;Три или четыре СК закрыты;Пас
2026-08-24 14:35:13,620;СК2 - закрыт;Акт
2026-08-24 14:35:13,620;Три или четыре СК закрыты;Акт
2026-08-24 14:35:22,750;СК2 - закрыт;Пас
2026-08-24 14:35:22,750;Три или четыре СК закрыты;Пас
2026-08-24 14:35:30,100;СК2 - закрыт;Акт
2026-08-24 14:35:30,100;Три или четыре СК закрыты;Акт
2026-08-24 14:53:08,260;СК3 - закрыт;Акт
2026-08-24 14:53:08,380;СК3 - закрыт;Пас
2026-08-24 14:53:08,430;СК3 - закрыт;Акт
2026-08-24 14:53:08,620;СК3 - закрыт;Пас
2026-08-24 14:53:08,650;СК3 - закрыт;Акт
2026-08-24 14:53:14,270;СК3 - закрыт;Пас
2026-08-24 14:53:14,460;СК3 - закрыт;Акт
2026-08-24 14:53:14,660;СК3 - закрыт;Пас
2026-08-24 14:53:14,810;СК3 - закрыт;Акт
2026-08-24 14:53:14,970;СК3 - закрыт;Пас
2026-08-24 14:53:15,120;СК3 - закрыт;Акт
2026-08-24 14:53:15,250;СК3 - закрыт;Пас
2026-08-24 14:53:15,410;СК3 - закрыт;Акт
2026-08-24 14:53:15,540;СК3 - закрыт;Пас
2026-08-24 14:53:15,550;СК3 - закрыт;Акт
2026-08-24 14:53:15,550;СК3 - закрыт;Пас
2026-08-24 14:53:15,680;СК3 - закрыт;Акт
2026-08-24 14:53:15,920;СК3 - закрыт;Пас
2026-08-24 14:53:16,000;СК3 - закрыт;Акт
2026-08-24 14:53:16,230;СК3 - закрыт;Пас
2026-08-24 14:53:16,290;СК3 - закрыт;Акт
2026-08-24 14:53:18,990;СК3 - закрыт;Пас
2026-08-24 14:53:19,010;СК3 - закрыт;Акт
2026-08-24 14:53:47,550;СК3 - закрыт;Пас
2026-08-24 14:54:55,850;СК3 - закрыт;Акт
2026-08-24 14:54:55,880;СК3 - закрыт;Пас
2026-08-24 14:57:35,270;ШУР: Дверь шкафа открыта;Пас
2026-08-24 14:57:35,330;ШУР: Дверь шкафа открыта;Акт
2026-08-24 14:57:35,400;ШУР: Дверь шкафа открыта;Пас
2026-08-24 15:01:54,490;Канал ведущий;Акт
2026-08-24 15:01:54,540;ШСП-А: блокировка другого канала;Акт
2026-08-24 15:01:54,540;ШСП-Б: блокировка другого канала;Акт
2026-08-24 15:02:00,870;Канал ведущий;Пас
2026-08-24 15:02:00,900;ШСП-А: блокировка другого канала;Пас
2026-08-24 15:02:00,900;ШСП-Б: блокировка другого канала;Пас
2026-08-24 15:02:09,780;Нет связи с МЩТ;Акт
2026-08-24 15:02:09,780;Программно отключен 2 канал IOScanning;Пас
2026-08-24 15:02:09,930;Обобщенная неисправность модуля А1-А2(TSXETY5103);Акт
2026-08-24 15:02:09,930;ШУР: неисправность канала(-ов) A2;Акт
2026-08-24 15:03:53,080;Нет связи с МЩТ;Пас
2026-08-24 15:03:53,080;Программно отключен 2 канал IOScanning;Акт
2026-08-24 15:03:53,280;Обобщенная неисправность модуля А1-А2(TSXETY5103);Пас
2026-08-24 15:03:53,280;ШУР: неисправность канала(-ов) A2;Пас
2026-08-24 15:08:31,650;СК1 - закрыт;Пас
2026-08-24 15:08:31,650;Три или четыре СК закрыты;Пас
2026-08-24 15:08:31,660;СК1 - закрыт;Акт
2026-08-24 15:08:31,660;Три или четыре СК закрыты;Акт
2026-08-24 15:08:31,660;СК1 - закрыт;Пас
2026-08-24 15:08:31,660;Три или четыре СК закрыты;Пас
2026-08-24 15:09:15,050;СК1 - закрыт;Акт
2026-08-24 15:09:15,050;Три или четыре СК закрыты;Акт
2026-08-24 15:09:15,100;СК1 - закрыт;Пас
2026-08-24 15:09:15,100;Три или четыре СК закрыты;Пас
2026-08-24 15:09:15,120;СК1 - закрыт;Акт
2026-08-24 15:09:15,120;Три или четыре СК закрыты;Акт
2026-08-24 15:09:15,140;СК1 - закрыт;Пас
2026-08-24 15:09:15,140;Три или четыре СК закрыты;Пас
2026-08-24 15:09:15,170;СК1 - закрыт;Акт
2026-08-24 15:09:15,170;Три или четыре СК закрыты;Акт
2026-08-24 15:15:10,510;Нет связи с МЩТ;Акт
2026-08-24 15:15:10,510;Программно отключен 2 канал IOScanning;Пас
2026-08-24 15:15:11,030;Обобщенная неисправность модуля А1-А2(TSXETY5103);Акт
2026-08-24 15:15:11,030;ШУР: неисправность канала(-ов) A2;Акт
2026-08-24 15:25:42,430;Нет связи с МЩТ;Пас
2026-08-24 15:25:42,430;Программно отключен 2 канал IOScanning;Акт
2026-08-24 15:25:43,480;Обобщенная неисправность модуля А1-А2(TSXETY5103);Пас
2026-08-24 15:25:43,480;ШУР: неисправность канала(-ов) A2;Пас
