Дата/Время;Сообщение;Значение
2026-08-24 10:13:35,300;ШСП-А: открыта дверь шкафа;Акт
2026-08-24 10:13:40,970;ШСП-А: открыта дверь шкафа;Пас
2026-08-24 10:14:34,220;ШСП-Б: открыта дверь шкафа;Акт
2026-08-24 10:16:54,710;ПК: Останов;Пас
2026-08-24 10:17:19,910;ПК: Останов;Акт
2026-08-24 10:17:22,780;ПК: Останов;Пас
2026-08-24 10:17:35,420;ПК: Останов;Акт
2026-08-24 10:17:43,140;Канал ведущий;Акт
2026-08-24 10:17:43,200;ШСП-А: блокировка другого канала;Акт
2026-08-24 10:17:43,200;ШСП-Б: блокировка другого канала;Акт
2026-08-24 10:17:45,060;Канал ведущий;Пас
2026-08-24 10:17:45,090;ШСП-А: блокировка другого канала;Пас
2026-08-24 10:17:45,090;ШСП-Б: блокировка другого канала;Пас
2026-08-24 10:17:46,530;ПК: Останов;Пас
2026-08-24 10:17:51,440;ПК: Останов;Акт
2026-08-24 10:18:06,990;ПК: Останов;Пас
2026-08-24 10:18:11,790;ПК: Останов;Акт
2026-08-24 10:18:26,130;ПК: Останов;Пас
2026-08-24 10:18:27,030;Тип перехода между режимами;Ручной переход
2026-08-24 10:18:27,040;Режим работы;РАЗВОРОТ (Исходное)
2026-08-24 10:18:27,040;Предыдущий режим работы;ОСТАНОВ
2026-08-24 10:18:27,040;Тип перехода между режимами;Ручной переход
2026-08-24 10:18:28,370;Режим работы;РПК (Наладка)
2026-08-24 10:18:28,370;Предыдущий режим работы;РАЗВОРОТ (Исходное)
2026-08-24 10:18:28,370;Тип перехода между режимами;Ручной переход
2026-08-24 10:19:22,480;ШСП-Б: QF1 выключен;Акт
2026-08-24 10:19:22,540;ШСП-Б: сеть 380В не в норме;Акт
2026-08-24 10:19:22,760;ШСП-Б: блок питания G1 неисправен;Акт
2026-08-24 10:19:22,770;Неисправность, сформированная по приоритету;Акт
2026-08-24 10:19:22,770;Код ошибки по приоритету (младшая часть);32768
2026-08-24 10:19:22,810;ШСП-Б: неисправны модуль оптической связи [А6] или шина Profibus;Акт
2026-08-24 10:19:22,810;Обобщенная неисправность модуля A1-A4(TSXPBY100);Акт
2026-08-24 10:19:22,810;Отсутствие связи со СПОЗ-Б;Акт
2026-08-24 10:19:22,810;A4: mod_error;Акт
2026-08-24 10:19:22,810;Неизвестный индекс сообщения: 28;577
2026-08-24 10:19:22,820;Неисправность датчика положения ГСМ-Б;Акт
2026-08-24 10:19:22,820;Код ошибки по приоритету (младшая часть);40960
2026-08-24 10:19:22,820;Датчик положения ГСМ-Б. Нет связи;Акт
2026-08-24 10:19:22,820;Неизвестный индекс сообщения: 28;833
2026-08-24 10:19:22,850;Таймер отсутствия изменений показаний СПОЗ-Б;Акт
2026-08-24 10:19:23,800;ШСП-Б: блок питания G2 неисправен;Акт
2026-08-24 10:19:25,960;ШУР: неисправны модуль оптической связи [А4] или шина Profibus;Акт
2026-08-24 10:19:25,960;ШСП-А: неисправны модуль оптической связи [А6] или шина Profibus;Акт
2026-08-24 10:20:29,430;Неисправность, сформированная по приоритету;Пас
2026-08-24 10:20:29,430;Тип перехода между режимами;24
2026-08-24 10:20:29,440;Неисправность, сформированная по приоритету;Акт
2026-08-24 10:20:29,450;Неисправность, сформированная по приоритету;Пас
2026-08-24 10:20:29,580;Неисправность, сформированная по приоритету;Акт
2026-08-24 10:21:10,010;Неисправность, сформированная по приоритету;Пас
2026-08-24 10:21:10,050;Неисправность, сформированная по приоритету;Акт
2026-08-24 10:21:42,250;Неисправность, сформированная по приоритету;Пас
2026-08-24 10:21:42,260;Неисправность, сформированная по приоритету;Акт
2026-08-24 10:22:09,570;ШСП-Б: автомат QF8 выключен;Акт
2026-08-24 10:22:10,260;ШСП-Б: QF1 выключен;Пас
2026-08-24 10:22:10,430;ШСП-Б: неисправны модуль оптической связи [А6] или шина Profibus;Пас
2026-08-24 10:22:10,500;ШСП-Б: блок питания G1 неисправен;Пас
2026-08-24 10:22:10,500;ШСП-Б: блок питания G2 неисправен;Пас
2026-08-24 10:22:10,600;ШСП-Б: сеть 380В не в норме;Пас
2026-08-24 10:22:19,790;Неисправность датчика положения ГСМ-Б;Пас
2026-08-24 10:22:19,790;Код ошибки по приоритету (младшая часть);32768
2026-08-24 10:22:19,790;Датчик положения ГСМ-Б. Нет связи;Пас
2026-08-24 10:22:19,790;Неизвестный индекс сообщения: 28;577
2026-08-24 10:22:19,800;Обобщенная неисправность модуля A1-A4(TSXPBY100);Пас
2026-08-24 10:22:19,800;Отсутствие связи со СПОЗ-Б;Пас
2026-08-24 10:22:19,800;Таймер отсутствия изменений показаний СПОЗ-Б;Пас
2026-08-24 10:22:19,800;A4: mod_error;Пас
2026-08-24 10:22:19,800;Неизвестный индекс сообщения: 28;0
2026-08-24 10:22:21,360;ШУР: неисправны модуль оптической связи [А4] или шина Profibus;Пас
2026-08-24 10:22:21,410;ШСП-А: неисправны модуль оптической связи [А6] или шина Profibus;Пас
2026-08-24 10:22:32,970;Неисправность, сформированная по приоритету;Пас
2026-08-24 10:22:32,970;Тип перехода между режимами;Автоматический переход (3)
2026-08-24 10:22:32,980;Неисправность, сформированная по приоритету;Акт
2026-08-24 10:22:34,340;Канал ведущий;Акт
2026-08-24 10:22:34,340;Канал зафиксировался;Акт
2026-08-24 10:22:34,340;Неисправность, сформированная по приоритету;Пас
2026-08-24 10:22:34,340;Канал ведущий;Пас
2026-08-24 10:22:34,340;Канал зафиксировался;Пас
2026-08-24 10:22:34,340;Неисправность, сформированная по приоритету;Акт
2026-08-24 10:23:31,500;Неисправность, сформированная по приоритету;Пас
2026-08-24 10:23:31,520;Канал ведущий;Акт
2026-08-24 10:23:31,520;Канал зафиксировался;Акт
2026-08-24 10:23:31,530;Начало форсированного сигнала;Акт
2026-08-24 10:23:31,530;Режим работы;ОСТАНОВ
2026-08-24 10:23:31,530;Предыдущий режим работы;РПК (Наладка)
2026-08-24 10:23:31,530;Тип перехода между режимами;Автоматический переход (3)
2026-08-24 10:23:31,560;ШСП-А: блокировка другого канала;Акт
2026-08-24 10:23:31,670;Канал ведущий;Пас
2026-08-24 10:23:31,670;Канал зафиксировался;Пас
2026-08-24 10:23:31,670;Неисправность, сформированная по приоритету;Акт
2026-08-24 10:23:31,700;ШСП-А: блокировка другого канала;Пас
2026-08-24 10:23:31,770;Начало форсированного сигнала;Пас
2026-08-24 10:25:54,200;Режим работы;РАЗВОРОТ (Исходное)
2026-08-24 10:25:54,200;Предыдущий режим работы;ОСТАНОВ
2026-08-24 10:25:54,200;Тип перехода между режимами;Автоматический переход (3)
2026-08-24 10:25:57,050;Тип перехода между режимами;Ручной переход
2026-08-24 10:25:57,070;Режим работы;РПК (Наладка)
2026-08-24 10:25:57,070;Предыдущий режим работы;РАЗВОРОТ (Исходное)
2026-08-24 10:25:57,070;Тип перехода между режимами;Ручной переход
2026-08-24 10:26:04,820;ШСП-Б: автомат QF8 выключен;Пас
2026-08-24 10:26:05,210;Неисправность, сформированная по приоритету;Пас
2026-08-24 10:26:05,210;Код ошибки по приоритету (младшая часть);0
2026-08-24 10:26:41,320;Канал ведущий;Акт
2026-08-24 10:26:41,320;Канал зафиксировался;Акт
2026-08-24 10:26:41,350;ШСП-А: блокировка другого канала;Акт
2026-08-24 10:26:41,510;ШСП-Б: блокировка другого канала;Акт
2026-08-24 10:26:41,820;2ЦРБРУ-К.Ошибка записи данных(основная линия связи);Акт
2026-08-24 10:26:41,850;2ЦРБРУ-К.Ошибка записи данных(основная линия связи);Пас
2026-08-24 10:26:52,210;Канал зафиксировался;Пас
2026-08-24 10:27:09,340;Режим работы;РАЗВОРОТ (Исходное)
2026-08-24 10:27:09,340;Предыдущий режим работы;РПК (Наладка)
2026-08-24 10:27:09,340;Тип перехода между режимами;Ручной переход
2026-08-24 10:27:09,350;Режим работы;РПК (Наладка)
2026-08-24 10:27:09,350;Предыдущий режим работы;РАЗВОРОТ (Исходное)
2026-08-24 10:27:09,350;Тип перехода между режимами;Ручной переход
2026-08-24 10:28:05,240;ШСП-Б: открыта дверь шкафа;Пас
2026-08-24 10:28:11,700;ПК: Останов;Акт
2026-08-24 10:28:11,700;Начало форсированного сигнала;Акт
2026-08-24 10:28:11,700;Режим работы;ОСТАНОВ
2026-08-24 10:28:11,700;Предыдущий режим работы;РПК (Наладка)
2026-08-24 10:28:11,700;Тип перехода между режимами;Автоматический переход (1)
2026-08-24 10:28:11,760;Начало форсированного сигнала;Пас
2026-08-24 14:07:51,520;Канал ведущий;Пас
2026-08-24 14:07:51,560;ШСП-А: блокировка другого канала;Пас
2026-08-24 14:07:51,560;ШСП-Б: блокировка другого канала;Пас
2026-08-24 14:08:27,380;ПК: Останов;Пас
2026-08-24 14:08:29,060;Тип перехода между режимами;Ручной переход
2026-08-24 14:08:29,080;Режим работы;РАЗВОРОТ (Исходное)
2026-08-24 14:08:29,080;Предыдущий режим работы;ОСТАНОВ
2026-08-24 14:08:29,080;Тип перехода между режимами;Ручной переход
2026-08-24 14:08:33,130;Режим работы;РПК (Наладка)
2026-08-24 14:08:33,130;Предыдущий режим работы;РАЗВОРОТ (Исходное)
2026-08-24 14:08:33,130;Тип перехода между режимами;Ручной переход
2026-08-24 14:31:04,560;ШУР: Дверь шкафа открыта;Акт
2026-08-24 14:31:31,170;СК3 - закрыт;Пас
2026-08-24 14:31:31,200;СК3 - закрыт;Акт
2026-08-24 14:31:31,210;СК3 - закрыт;Пас
2026-08-24 14:31:31,300;СК3 - закрыт;Акт
2026-08-24 14:31:31,320;СК3 - закрыт;Пас
2026-08-24 14:31:31,340;СК3 - закрыт;Акт
2026-08-24 14:31:51,420;СК3 - закрыт;Пас
2026-08-24 14:31:51,480;СК3 - закрыт;Акт
2026-08-24 14:33:51,590;Канал ведущий;Акт
2026-08-24 14:33:51,640;ШСП-А: блокировка другого канала;Акт
2026-08-24 14:33:51,640;ШСП-Б: блокировка другого канала;Акт
2026-08-24 14:33:52,090;2ЦРБРУ-К.Ошибка чтения данных(основная линия связи);Акт
2026-08-24 14:33:52,150;2ЦРБРУ-К.Ошибка чтения данных(основная линия связи);Пас
2026-08-24 14:57:29,690;ШУР: Дверь шкафа открыта;Пас
2026-08-24 15:01:54,490;Канал ведущий;Пас
2026-08-24 15:01:54,520;ШСП-А: блокировка другого канала;Пас
2026-08-24 15:01:54,520;ШСП-Б: блокировка другого канала;Пас
2026-08-24 15:02:00,870;Канал ведущий;Акт
2026-08-24 15:02:00,930;ШСП-А: блокировка другого канала;Акт
2026-08-24 15:02:00,930;ШСП-Б: блокировка другого канала;Акт
2026-08-24 15:02:01,370;1ЦРБРУ-К.Ошибка записи данных(основная линия связи);Акт
2026-08-24 15:02:01,630;1ЦРБРУ-К.Ошибка записи данных(основная линия связи);Пас
2026-08-24 15:02:09,750;Нет связи с МЩТ;Акт
2026-08-24 15:02:09,750;Программно отключен 2 канал IOScanning;Пас
2026-08-24 15:02:10,430;Обобщенная неисправность модуля А1-А2(TSXETY5103);Акт
2026-08-24 15:02:10,430;ШУР: неисправность канала(-ов) A2;Акт
2026-08-24 15:03:53,090;Нет связи с МЩТ;Пас
2026-08-24 15:03:53,090;Программно отключен 2 канал IOScanning;Акт
2026-08-24 15:03:53,790;Обобщенная неисправность модуля А1-А2(TSXETY5103);Пас
2026-08-24 15:03:53,790;ШУР: неисправность канала(-ов) A2;Пас
2026-08-24 15:09:36,340;СК1 - закрыт;Пас
2026-08-24 15:15:10,480;Нет связи с МЩТ;Акт
2026-08-24 15:15:10,480;Программно отключен 2 канал IOScanning;Пас
2026-08-24 15:15:11,530;Обобщенная неисправность модуля А1-А2(TSXETY5103);Акт
2026-08-24 15:15:11,530;ШУР: неисправность канала(-ов) A2;Акт
2026-08-24 15:25:42,420;Нет связи с МЩТ;Пас
2026-08-24 15:25:42,420;Программно отключен 2 канал IOScanning;Акт
2026-08-24 15:25:42,900;Обобщенная неисправность модуля А1-А2(TSXETY5103);Пас
2026-08-24 15:25:42,900;ШУР: неисправность канала(-ов) A2;Пас
2026-08-24 15:32:26,960;СК1 - закрыт;Акт
