timestamp,Driver Square Filtred Current, Wiring Square Filtred Current, Switches Square Filtred Current
5181,0.0133038,0.0134915,0.014466
5212,0.0133038,0.0134677,0.0144601
5276,None,0.0135094,0.0137299
5277,0.0133038,None,None
5356,0.0133038,0.0134885,0.0133455
5402,0.0133038,0.0134408,0.0128448
5434,0.0133038,0.0134319,0.0135064
5495,0.0133038,0.0134408,0.0133961
5590,0.0133038,0.0135303,0.0134051
5637,None,None,0.0127912
5638,0.0133038,0.0135154,None
5669,0.0132889,0.0134438,0.0124037
5701,0.0132889,0.0134796,0.0126362
5794,None,0.0134647,0.0129491
5795,0.0132889,None,None
5811,0.0132889,0.0135064,0.0132293
5843,0.0132889,0.0135154,0.0138074
5874,None,0.0135332,0.0138849
5875,0.0132889,None,None
5906,0.0132889,0.013569,0.0142545
6001,0.0132889,0.0136346,0.0144839
6049,0.0132889,0.0136852,0.0143945
6081,0.0132889,0.0136286,0.0143111
6111,0.0132889,0.0135601,0.0139445
6207,0.0133157,0.0133514,0.0128508
6255,0.0133157,0.0133693,0.0126541
6286,None,0.0133753,0.0126898
6287,0.0133157,None,None
6319,0.0133157,0.013271,0.0122994
6399,0.0133157,0.0133544,0.0128001
6430,0.0133157,0.013265,0.0129133
6462,0.0133157,0.0133425,0.0131696
6605,0.0133157,0.0134498,0.0140369
6731,0.0133127,0.0135869,0.0133872
6826,None,0.0134915,0.0132948
6827,0.0133127,None,None
6874,0.0133127,0.0135869,0.0139624
6906,0.0133127,0.0135094,0.0140339
6983,0.0133127,0.0135481,0.0143141
7030,0.0133127,0.0134766,0.0140488
7061,None,None,0.0140607
7062,0.0133127,0.0134915,None
7077,0.0133127,0.0134617,0.0138819
7109,0.0133127,0.0134557,0.0136197
7141,0.0133127,0.0134379,0.0136375
7235,None,0.0134706,0.0126421
7236,0.0133634,None,None
7299,0.0133634,0.0136167,0.0133753
7331,0.0133634,0.0136137,0.0133187
7411,0.0133634,0.0136107,0.0134975
7443,0.0133634,0.0136256,0.0139147
7474,0.0133634,0.0135988,0.0136346
7506,0.0133634,0.0136882,0.0137806
7552,0.0133634,0.013569,0.0136167
7645,None,0.0135839,0.0138819
7646,0.0133634,None,None
7693,0.0133693,0.0137329,0.0137866
7725,0.0133693,0.0137001,0.0139385
7756,None,0.013715,0.0138879
7757,0.0133693,None,None
7850,0.0133693,0.0136554,0.0140339
8088,0.0133693,0.0137359,0.0138134
8119,0.0133693,0.0136375,0.0133723
8295,0.0133842,0.0136703,0.0127673
8326,0.0133842,0.013569,0.0129938
8372,0.0133842,0.0135511,0.0128061
8546,0.0133842,0.0135869,0.0138611
8578,0.0133842,0.0135422,0.0132948
8657,None,None,0.0126868
8658,0.0133842,0.0134081,None
8689,0.0133783,0.013268,0.0124156
8721,0.0133783,0.0133067,0.0127286
8833,0.0133783,0.013274,0.0133276
8865,0.0133783,0.0132829,0.0135124
8881,0.0133783,0.013271,0.0137717
8912,0.0133783,0.0132471,0.0135541
8958,0.0133783,0.0131339,0.01342
8990,0.0133783,0.0130475,0.0130385
9165,0.0133753,0.0131577,0.0131279
9196,0.0133753,0.013119,0.0130683
9323,None,0.0132084,0.0131249
9324,0.0133753,None,None
9371,0.0133753,0.0132442,0.0133783
9450,0.0133753,0.0131428,0.0133574
9497,0.0133753,0.0132382,0.0136554
9529,0.0133753,0.0132501,0.0138402
9577,0.0133753,0.0133276,0.0137866
9656,0.0133753,0.0133246,0.0136495
9688,0.0133872,0.0133604,0.0131965
9703,None,0.0132829,0.012967
9704,0.0133872,None,None
9735,0.0133872,0.0132531,0.0126421
9767,0.0133872,0.0132293,0.0122994
9824,0.0133872,0.0131875,0.0128835
9891,0.0133872,0.0132084,0.0130057
9938,0.0133872,0.0131607,0.0128865
10064,0.0133872,0.0130683,0.0121474
10414,0.0133574,0.0130862,0.0133783
10493,0.0133574,0.0129938,0.0135481
10541,0.0133574,0.0129849,0.01342
10700,0.0133961,0.0132143,0.0139534
10827,None,None,0.0137955
10828,0.0133961,0.0133604,None
10984,0.0133961,0.0135034,0.0139296
11031,0.0133961,0.0134975,0.0131547
11110,0.0133961,0.013721,0.0134796
11142,None,0.0137687,0.0133216
11143,0.0133961,None,None
11333,0.0133753,0.0137538,0.0135809
11365,0.0133753,0.0137538,0.0136286
11380,None,0.0137508,0.0137508
11381,0.0133753,None,None
11412,0.0133753,0.0137508,0.0136524
11444,0.0133753,0.0137955,0.0136316
11537,0.0133753,0.0137568,0.0134885
11761,0.0133842,0.013724,0.0138968
11793,0.0133842,0.0136614,0.0138491
11839,0.0133842,0.0136733,0.0138968
11918,0.0133842,0.0137091,0.0140816
11950,None,None,0.0140071
11951,0.0133842,0.0136673,None
12045,0.0133842,0.0138193,0.0138432
12122,None,None,0.0137478
12123,0.0133842,0.0137717,None
12169,None,0.0138044,0.0139952
12170,0.013417,None,None
12273,0.013417,0.0137508,0.0136256
12440,0.013417,0.0137836,0.0136226
12521,0.013417,0.0136584,0.0129402
12567,None,None,0.01297
12568,0.013417,0.0136465,None
12599,None,0.0135124,0.0126421
12600,0.013417,None,None
12631,None,None,0.0124574
12632,0.013417,0.0134557,None
12743,0.0134349,0.0136137,0.0134587
12774,0.0134349,0.0135511,0.0135958
12790,0.0134349,0.0135303,0.0134975
12822,0.0134349,0.0135332,0.013876
12853,None,None,0.0138044
12854,0.0134349,0.0135213,None
12933,0.0134349,0.0134051,0.0130862
13029,0.0134349,0.01342,0.0132143
13188,0.0134259,0.0131816,0.0130117
13219,0.0134259,0.0132203,0.012821
13282,0.0134259,0.0130951,0.0123292
13362,0.0134259,0.0130624,0.0127643
13393,0.0134259,0.0131041,0.0128001
13489,0.0134259,0.0131488,0.0133425
13632,0.0134259,0.013268,0.0136763
13663,0.0134081,0.0132173,0.013721
13695,0.0134081,0.0132084,0.0135958
13790,0.0134081,0.0132501,0.0139862
13806,0.0134081,0.0132263,0.0139654
13838,0.0134081,0.0131607,0.0137001
13870,0.0134081,0.0131994,0.0139356
13949,0.0134081,0.013268,0.0134051
14043,0.0134081,0.0130743,0.0124216
14075,0.0134081,0.0130355,0.0123233
14185,0.0134081,0.0131816,0.0131309
14233,0.0134081,0.0131905,0.0131249
14280,0.0134081,0.0132561,0.0133723
14454,0.0134081,0.0133395,0.0136673
14565,0.0134081,0.0133604,0.0138521
