timestamp,Driver Square Filtred Current, Wiring Square Filtred Current, Switches Square Filtred Current
8652,0.0471145,0.0472218,0.0489533
8684,0.0471145,0.0472993,0.048539
8795,0.0471294,0.0468493,0.0468224
8843,0.0471294,0.0469089,0.0456035
8874,0.0471294,0.0470817,0.0454336
43903,0.761881,0.0142694,0.0140637
43935,None,0.0142306,0.0139177
43936,0.761881,None,None
43967,0.761881,0.0142217,0.0138164
43998,0.761881,0.0142246,0.0140071
44029,None,0.014168,0.0138491
44030,0.761881,None,None
44108,None,0.0140756,0.0137657
44109,0.762305,None,None
44124,0.762305,0.0141084,0.0142425
44155,None,None,0.0140131
44156,0.762305,0.0140309,None
44187,0.762305,0.014028,0.0140995
44219,0.762305,0.0139505,0.0139058
44282,0.762305,0.0140369,0.0139594
44328,None,None,0.0143617
44329,0.762305,0.0141859,None
44377,0.762305,0.0142246,0.0145495
44424,0.762305,0.0142723,0.0148952
44504,0.762305,0.0143498,0.014475
44552,0.762305,0.0143319,0.0141114
44583,None,None,0.0141114
44584,0.762305,0.0142574,None
44616,0.76268,0.0142336,0.0140786
44647,None,None,0.0135988
44648,0.76268,0.0140876,None
44727,None,0.0142336,0.0144392
44728,0.76268,None,None
44759,0.76268,0.0141799,0.0143349
44791,0.76268,0.0142097,0.0145197
44823,0.76268,0.0141501,0.0140339
44855,0.76268,0.0142157,0.0145137
44933,0.76268,0.014329,0.0144541
44963,0.76268,0.0143498,0.0144452
44996,0.76268,0.0143498,0.0148505
45042,0.76268,0.0143647,0.0148088
45120,0.758618,0.0142545,0.0136703
45150,None,None,0.0138044
45151,0.758618,0.0142872,None
45182,None,0.0142813,0.0135988
45183,0.758618,None,None
45214,None,None,0.0131905
45215,0.758618,0.0142664,None
45246,None,0.0142246,0.0132293
45247,0.758618,None,None
45437,0.758618,0.0143468,0.0152379
45468,None,None,0.0151664
45469,0.758618,0.0143051,None
45532,0.758618,0.0143588,0.0151008
45564,0.758618,0.0143439,0.0147879
45595,0.720084,0.0144064,0.0145882
45735,0.720084,0.0144869,0.0150293
45783,0.720084,0.0145406,0.0152767
45814,None,None,0.015071
45815,0.720084,0.0146121,None
45846,0.720084,0.0145853,0.0150412
45878,None,None,0.0144422
45879,0.720084,0.014466,None
45958,0.720084,0.0144601,0.0142306
46006,0.720084,0.0144541,0.0140786
46038,0.720084,0.0145495,0.0146389
46086,0.720084,0.0146538,0.0148803
46165,0.674701,0.0146598,0.0146687
46197,0.674701,0.0147045,0.0147253
46290,None,None,0.0141025
46291,0.674701,0.0146955,None
46401,0.674701,0.0146121,0.0143051
46448,0.674701,0.0144839,0.0140667
46478,None,None,0.0142634
46479,0.674701,0.0145137,None
46516,0.674701,0.0146002,0.0145674
