timestamp,Driver Square Filtred Current, Wiring Square Filtred Current, Switches Square Filtred Current
33786,0.0156522,None,None
33850,0.0156522,None,None
33911,0.0156522,None,None
33974,0.0156522,None,None
34007,0.0156522,None,None
44479,0.0156641,0.0154585,0.0155687
44527,0.0156492,0.0154018,0.0160903
44639,0.0156492,0.0155091,0.0156879
44829,0.0156492,0.0156552,0.0158012
44876,0.0156492,0.0156045,0.0160366
44924,0.0156492,0.0155091,0.0155658
44972,0.0156492,0.0154316,0.0150353
45111,None,None,0.0159621
45112,0.0156373,0.0155926,None
45160,0.0156373,0.015685,0.0164419
45315,None,None,0.0154406
45316,0.0156373,0.0156909,None
45348,0.0156373,0.0157803,0.0152737
45379,None,None,0.0156581
45380,0.0156373,0.0157565,None
45665,0.0156552,0.0156671,0.0151247
45697,0.0156552,0.0156194,0.0148594
45792,0.0156552,0.0155509,0.0148565
45951,0.0156552,0.0153929,0.0144571
46092,0.0156134,0.0154197,0.0159651
46139,0.0156134,0.0151873,0.015837
46186,0.0156134,0.0153303,0.0156313
46361,0.0156134,0.0153244,0.0157773
46393,0.0156134,0.0153244,0.0160754
46473,0.0156134,0.0154406,0.0165343
46535,0.0156224,0.0152767,0.0161886
46582,None,None,0.0152737
46583,0.0156224,0.0152946,None
46630,0.0156224,0.0152797,0.0152797
46677,0.0156224,0.0154614,0.0150412
46708,0.0156224,0.0154346,0.0151068
46740,0.0156224,0.0155091,0.0159472
46789,0.0156224,0.01553,0.0161141
46915,None,0.0157505,0.0161946
46916,0.0156224,None,None
46962,0.0156224,0.0156492,0.0151396
46993,0.0156224,0.0157207,0.0154138
47057,0.0156432,0.0155985,0.01522
47153,0.0156432,0.0156879,0.0155568
47185,0.0156432,0.0156224,0.0154316
47248,0.0156432,0.0156194,0.0155509
47279,None,None,0.0157177
47280,0.0156432,0.015673,None
47312,0.0156432,0.0157267,0.0155628
47343,None,None,0.0158995
47344,0.0156432,0.0157356,None
47375,None,None,0.0162989
47376,0.0156432,0.0157416,None
47471,0.0156432,0.0156224,0.0161797
47503,0.0156432,0.0156373,0.0160992
47567,0.0156432,0.0157326,0.0153542
47598,None,0.0157505,0.0153482
47599,0.0156432,None,None
47630,0.0156432,0.0157952,0.0157952
47692,0.0156432,0.0157803,0.0158846
47724,0.0156432,0.0158697,0.0160068
47818,0.0156432,0.015834,0.0166237
47897,0.0156432,0.0157207,0.0159562
47944,0.0156432,0.0158012,0.0154346
47991,0.0156432,0.0157565,0.0151515
48086,0.0156373,0.0157803,0.0154436
48134,0.0156373,0.0157773,0.0154108
48165,0.0156373,0.0157714,0.0153214
48196,0.0156373,0.0157595,0.0152022
48228,0.0156373,0.0157058,0.0155181
48306,0.0156373,0.0157237,0.0154227
48353,0.0156373,0.0155985,0.0151515
48385,0.0156373,0.0155807,0.0155091
48416,None,0.0156254,0.0158906
48417,0.0156373,None,None
48592,0.0156194,0.0155836,0.0154793
48655,0.0156194,0.015378,0.014469
48718,0.0156194,0.0153154,0.0144064
48766,0.0156194,0.0153244,0.014466
48798,0.0156194,0.0152022,0.0148475
48846,0.0156194,0.0152618,0.0158429
48988,0.0156194,0.0153542,0.016126
49159,None,None,0.0148505
49160,0.0155866,0.0152856,None
49192,0.0155866,0.0153482,0.0150055
49366,0.0155866,0.0154287,0.0158101
49413,0.0155866,0.0153184,0.0159204
49444,None,None,0.0156581
49445,0.0155866,0.0153065,None
49524,0.0155926,0.0153959,0.0162512
49588,0.0155926,0.0154078,0.0159711
49634,0.0155926,0.0154972,0.015527
49666,0.0155926,0.0156164,0.0154167
49744,0.0155926,0.0154972,0.0151336
49791,None,None,0.015372
49792,0.0155926,0.0156254,None
49837,0.0155926,0.0155538,0.0157475
49933,None,0.0153184,0.0148296
49934,0.0155926,None,None
49981,0.0155926,0.0154048,0.014928
50013,0.0155538,0.0153691,0.0146598
50059,None,0.0154555,0.0152022
50060,0.0155538,None,None
50139,0.0155538,0.0154763,0.0157803
50187,0.0155538,0.0154763,0.0155658
50345,0.0155538,0.0153035,0.0147939
50456,0.0155538,0.0152379,0.0150293
50550,0.015533,0.0154257,0.0164628
50642,None,None,0.016439
50643,0.015533,0.0154704,None
50674,0.015533,0.0154436,0.0163645
50751,0.015533,0.0154585,0.0154912
50783,0.015533,0.0153542,0.0154108
50815,0.015533,0.0152797,0.0150055
50861,0.015533,0.0153422,0.014919
50906,0.015533,0.0154078,0.0148386
50970,0.015533,0.0154227,0.015077
51002,0.01553,0.0155479,0.0158817
51050,0.01553,0.0155002,0.0160545
51097,None,0.0154316,0.0158399
51098,0.01553,None,None
51236,None,None,0.0151485
51237,0.01553,0.0155836,None
51285,0.01553,0.0155717,0.0152826
51474,0.01553,0.015527,0.0152588
51506,0.0155091,0.0154465,0.0150412
51791,0.0155091,0.015378,0.015232
51837,0.0155091,0.0154555,0.0155449
51869,0.0155091,0.0153005,0.0152707
51901,0.0155091,0.0154197,0.0154793
51981,0.0155091,0.0153899,0.0153422
52028,0.0155061,0.015381,0.0154197
52155,0.0155061,0.0153571,0.015375
52202,0.0155061,0.0152379,0.015375
52234,0.0155061,0.0153631,0.0155836
52266,0.0155061,0.0154018,0.0154793
52314,0.0155061,0.0154614,0.016135
52393,0.0155061,0.0155628,0.0161141
52442,0.0155061,0.0155091,0.0156015
52473,0.0155061,0.0155509,0.015679
52505,None,0.0155628,0.0154525
52506,0.0155121,None,None
52599,0.0155121,0.0156552,0.0158191
52724,None,0.0157893,0.0162005
52725,0.0155121,None,None
52915,0.0155121,0.015679,0.0148505
53090,0.0155151,0.0155509,0.0152916
53120,0.0155151,0.0156313,0.0155807
53200,0.0155151,0.0156909,0.0156522
53295,0.0155151,0.0154555,0.0153869
53342,0.0155151,0.0154316,0.0150025
