timestamp,Driver Square Filtred Current, Wiring Square Filtred Current, Switches Square Filtred Current
1196,0.0464112,0.0467271,0.0475764
1228,0.0464112,0.0468075,0.0467956
1260,0.0464112,0.0467718,0.0466108
1340,0.0464112,0.046888,0.0459075
1371,0.0464112,0.0469416,0.045526
11791,0.0200242,0.0198871,0.0190973
11854,0.0200242,0.0199556,0.020045
11886,0.0200242,0.0199229,0.0201285
12044,0.0200242,0.020045,0.0199467
12092,0.0200242,0.0198215,0.0193357
12123,None,None,0.019151
12124,0.0200242,0.0197768,None
12154,None,0.0199229,0.0200599
12155,0.0200242,None,None
12185,0.0200242,0.0199556,0.0202477
12264,0.0200242,0.0197738,0.019449
12438,0.0200182,0.0197023,0.0194073
12485,None,0.0195593,0.0191748
12486,0.0200182,None,None
12517,0.0200182,0.0196099,0.0196695
12548,0.0200182,0.0196576,0.0196964
12659,0.0200182,0.0197858,0.0203043
12707,0.0200182,0.0198185,0.0207543
12738,0.0200182,0.0198394,0.020504
12769,0.0200182,0.0198334,0.020501
12863,0.0200003,0.0198245,0.0202715
12895,0.0200003,0.0198126,0.0202298
12926,None,None,0.0200331
12927,0.0200003,0.0197202,None
13070,0.0200003,0.0198036,0.0194967
13118,0.0200003,0.0198901,0.0196636
13150,0.0200003,0.0197738,0.0202119
13181,0.0200003,0.0198156,0.0202686
13261,0.0200003,0.0199616,0.0202835
13309,0.0199735,0.0199527,0.0198275
13405,None,0.0199229,0.0190794
13406,0.0199735,None,None
13484,0.0199735,0.0199139,0.019297
13515,0.0199735,0.0199497,0.0191599
13547,0.0199735,0.0198513,0.0193238
13579,0.0199735,0.0198096,0.0196785
13735,0.0199735,0.0198662,0.0203162
13782,0.0199646,0.0199109,0.0205785
13813,0.0199646,0.0198901,0.0201344
13892,0.0199646,0.0201434,0.0219911
13924,0.0199646,0.0201404,0.0215441
13956,0.0199646,0.0202239,0.0210941
13987,None,None,0.0211895
13988,0.0199646,0.020197,None
14020,0.0199646,0.0201613,0.0210106
14179,0.0199646,0.0200003,0.0192523
